问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,718,20,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String)",,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + this.Unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,422,16,T:System.Windows.Forms.MessageBox,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,422,16,T:System.Windows.Forms.DialogResult,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,422,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String)",,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + unit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,378,16,T:System.Windows.Forms.MessageBox,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + desiredUnit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,378,16,T:System.Windows.Forms.DialogResult,,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + desiredUnit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Parameters\RealParameter.cs,378,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String)",,,,,"System.Windows.Forms.MessageBox.Show(""There is no unit named"" + desiredUnit, ""Unit Warning!"");"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,65,12,M:System.Windows.Forms.Form.Close,,,,,this.Close();
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,64,12,T:System.Windows.Forms.DialogResult,,,,,this.DialogResult = System.Windows.Forms.DialogResult.OK;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,64,12,T:System.Windows.Forms.DialogResult,,,,,this.DialogResult = System.Windows.Forms.DialogResult.OK;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,64,12,F:System.Windows.Forms.DialogResult.OK,,,,,this.DialogResult = System.Windows.Forms.DialogResult.OK;
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,CapeOpen\CapeOpen.csproj,File,CapeOpen\Editors\BaseUnitEditor.cs,64,12,T:System.Windows.Forms.DialogResult,,,,,this.DialogResult = System.Windows.Forms.DialogResult.OK;
